Day,Time,Item,Type,Price,Discount (%),Payment Method
107,11:44 AM,Grilled Salmon,Main Course,24,0,Credit Card
107,11:44 AM,Napa Valley Syrah (2021),Wine,58,0,Credit Card
107,11:44 AM,White rice,Side,2,0,Credit Card
107,12:03 PM,Deluxe Burger,Main Course,18,0,Cash
107,12:03 PM,Diet Coke,Soft Drink,3,0,Cash
107,12:03 PM,Steamed vegetables,Side,5,0,Cash
107,12:20 PM,Bread and butter,Side,2,0,Credit Card
107,12:20 PM,Ceasar Salad,Main Course,12,0,Credit Card
107,12:20 PM,Fruit Punch,Soft Drink,3,0,Credit Card
107,12:38 PM,Grilled Salmon,Main Course,24,0,Cash
107,12:38 PM,Napa Valley Red Blend (2019),Wine,50,0,Cash
107,12:38 PM,Steamed vegetables,Side,5,0,Cash
107,12:55 PM,Deluxe Burger,Main Course,18,0,Credit Card
107,12:55 PM,French Fries,Side,5,0,Credit Card
107,12:55 PM,Lemonade,Soft Drink,3,0,Credit Card
107,5:10 PM,Ceasar Salad,Main Course,12,0,Cash
107,5:10 PM,Cole Slaw,Side,5,0,Cash
107,5:10 PM,Sprite,Soft Drink,3,0,Cash
107,5:28 PM,Grilled Salmon,Main Course,24,0,Credit Card
107,5:28 PM,Reserve Pinot Noir Carneros (2020),Wine,60,0,Credit Card
107,5:28 PM,Steamed vegetables,Side,5,0,Credit Card
107,5:45 PM,Coke,Soft Drink,3,0,Cash
107,5:45 PM,Deluxe Burger,Main Course,18,0,Cash
107,5:45 PM,White rice,Side,2,0,Cash
107,6:10 PM,Bread and butter,Side,2,0,Credit Card
107,6:10 PM,Ceasar Salad,Main Course,12,0,Credit Card
107,6:10 PM,Fruit Punch,Soft Drink,3,0,Credit Card
107,6:33 PM,Grilled Salmon,Main Course,24,0,Cash
107,6:33 PM,Oakville The Estates Cabernet Sauvignon (2022),Wine,105,0,Cash
107,6:33 PM,Steamed vegetables,Side,5,0,Cash
107,6:56 PM,Deluxe Burger,Main Course,18,0,Credit Card
107,6:56 PM,French Fries,Side,5,0,Credit Card
107,6:56 PM,Lemonade,Soft Drink,3,0,Credit Card
107,7:20 PM,Ceasar Salad,Main Course,12,0,Cash
107,7:20 PM,Cole Slaw,Side,5,0,Cash
107,7:20 PM,Napa Valley Moscato d'Oro (2020),Wine,25,0,Cash
107,7:45 PM,Grilled Salmon,Main Course,24,0,Credit Card
107,7:45 PM,Steamed vegetables,Side,5,0,Credit Card
107,7:45 PM,The Estates Merlot Oakville (2021),Wine,65,0,Credit Card
107,8:10 PM,Deluxe Burger,Main Course,18,0,Cash
107,8:10 PM,Lemonade,Soft Drink,3,0,Cash
107,8:10 PM,White rice,Side,2,0,Cash
107,8:33 PM,Bread and butter,Side,2,0,Credit Card
107,8:33 PM,Ceasar Salad,Main Course,12,0,Credit Card
107,8:33 PM,Fruit Punch,Soft Drink,3,0,Credit Card
107,8:57 PM,Grilled Salmon,Main Course,24,0,Cash
107,8:57 PM,Reserve Pinot Noir Carneros (2020),Wine,60,0,Cash
107,8:57 PM,Steamed vegetables,Side,5,0,Cash
108,11:05 AM,Coke,Soft Drink,3,0,Credit Card
108,11:05 AM,Coke,Soft Drink,3,0,Credit Card
108,11:05 AM,Deluxe Burger,Main Course,18,0,Credit Card
108,11:05 AM,Deluxe Burger,Main Course,18,0,Credit Card
108,11:05 AM,French Fries,Side,5,0,Credit Card
108,11:05 AM,French Fries,Side,5,0,Credit Card
108,11:25 AM,Ceasar Salad,Main Course,12,0,Cash
108,11:25 AM,Ceasar Salad,Main Course,12,0,Cash
108,11:25 AM,Lemonade,Soft Drink,3,0,Cash
108,11:25 AM,Lemonade,Soft Drink,3,0,Cash
108,11:25 AM,White rice,Side,2,0,Cash
108,11:25 AM,White rice,Side,2,0,Cash
108,11:45 AM,Cole Slaw,Side,5,0,Credit Card
108,11:45 AM,Cole Slaw,Side,5,0,Credit Card
108,11:45 AM,Grilled Salmon,Main Course,24,0,Credit Card
108,11:45 AM,Grilled Salmon,Main Course,24,0,Credit Card
108,11:45 AM,Napa Valley Sauvignon Blanc (2022),Wine,50,0,Credit Card
108,11:45 AM,Napa Valley Sauvignon Blanc (2022),Wine,50,0,Credit Card
108,12:10 PM,Deluxe Burger,Main Course,18,0,Cash
108,12:10 PM,Deluxe Burger,Main Course,18,0,Cash
108,12:10 PM,Sprite,Soft Drink,3,0,Cash
108,12:10 PM,Sprite,Soft Drink,3,0,Cash
108,12:10 PM,Steamed vegetables,Side,5,0,Cash
108,12:10 PM,Steamed vegetables,Side,5,0,Cash
108,5:20 PM,Bread and butter,Side,2,0,Credit Card
108,5:20 PM,Bread and butter,Side,2,0,Credit Card
108,5:20 PM,Ceasar Salad,Main Course,12,0,Credit Card
108,5:20 PM,Ceasar Salad,Main Course,12,0,Credit Card
108,5:20 PM,Diet Coke,Soft Drink,3,0,Credit Card
108,5:20 PM,Diet Coke,Soft Drink,3,0,Credit Card
108,5:45 PM,Deluxe Burger,Main Course,18,0,Cash
108,5:45 PM,Deluxe Burger,Main Course,18,0,Cash
108,5:45 PM,French Fries,Side,5,0,Cash
108,5:45 PM,French Fries,Side,5,0,Cash
108,5:45 PM,Reserve Chardonnay Napa Valley (2021),Wine,55,0,Cash
108,5:45 PM,Reserve Chardonnay Napa Valley (2021),Wine,55,0,Cash
108,6:10 PM,Grilled Salmon,Main Course,24,0,Credit Card
108,6:10 PM,Grilled Salmon,Main Course,24,0,Credit Card
108,6:10 PM,Napa Valley Red Blend (2021),Wine,50,0,Credit Card
108,6:10 PM,Napa Valley Red Blend (2021),Wine,50,0,Credit Card
108,6:10 PM,Steamed vegetables,Side,5,0,Credit Card
108,6:10 PM,Steamed vegetables,Side,5,0,Credit Card
109,11:00 AM,Cole Slaw,Side,5,0,Cash
109,11:00 AM,Cole Slaw,Side,5,0,Cash
109,11:00 AM,Deluxe Burger,Main Course,18,0,Cash
109,11:00 AM,Deluxe Burger,Main Course,18,0,Cash
109,11:00 AM,Lemonade,Soft Drink,3,0,Cash
109,11:00 AM,Lemonade,Soft Drink,3,0,Cash
109,11:25 AM,Ceasar Salad,Main Course,12,0,Credit Card
109,11:25 AM,Ceasar Salad,Main Course,12,0,Credit Card
109,11:25 AM,Coke,Soft Drink,3,0,Credit Card
109,11:25 AM,Coke,Soft Drink,3,0,Credit Card
109,11:25 AM,White rice,Side,2,0,Credit Card
109,11:25 AM,White rice,Side,2,0,Credit Card
109,11:50 AM,Deluxe Burger,Main Course,18,0,Cash
109,11:50 AM,Deluxe Burger,Main Course,18,0,Cash
109,11:50 AM,French Fries,Side,5,0,Cash
109,11:50 AM,French Fries,Side,5,0,Cash
109,11:50 AM,Napa Valley Syrah (2021),Wine,58,0,Cash
109,11:50 AM,Napa Valley Syrah (2021),Wine,58,0,Cash
109,12:15 PM,Bread and butter,Side,2,0,Credit Card
109,12:15 PM,Bread and butter,Side,2,0,Credit Card
109,12:15 PM,Grilled Salmon,Main Course,24,0,Credit Card
109,12:15 PM,Grilled Salmon,Main Course,24,0,Credit Card
109,12:15 PM,Reserve Pinot Noir Carneros (2020),Wine,60,0,Credit Card
109,12:15 PM,Reserve Pinot Noir Carneros (2020),Wine,60,0,Credit Card
109,5:10 PM,Deluxe Burger,Main Course,18,0,Cash
109,5:10 PM,Deluxe Burger,Main Course,18,0,Cash
109,5:10 PM,Fruit Punch,Soft Drink,3,0,Cash
109,5:10 PM,Fruit Punch,Soft Drink,3,0,Cash
109,5:10 PM,Steamed vegetables,Side,5,0,Cash
109,5:10 PM,Steamed vegetables,Side,5,0,Cash
109,5:35 PM,Ceasar Salad,Main Course,12,0,Credit Card
